NUMERO_PEDIDO;DATA_DIVULGACAO;DATA_CANCELAMENTO;FILIAL;MOTIVO;SUBMOTIVO;COD_PDV;PRODUTO;CANAL;CPF;NOME_CLIENTE;LOGIN_VENDEDOR;DESC_CAMPANHA;DESC_OFERTA;GRUPO_UNIDADE;CANAL_REGIONAL;DESC_CANAL_BOV_GRUPO;NOME_PONTO_VENDA;RESULTADO_FINAL;MUNICIPIO_INSTALACAO;DDD_FIXO;DETALHE_MOTIVO;FLG_VL_VL_MESMO_END_CLIE_DIF;FLG_VL_VL_CLIE_END_IGUAL;FLG_VL_PLT_CLIE_END_IGUAL;FLG_VL_PLT_MESMO_END_CLIE_DIF
"4-173568865096";20240419;20240417;RS;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1039309;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR802350;;BD_OITOTAL_VOIP+BL;EMPRESARIAL;LOCAL;OUTROS;SELEME SUL;;SANTA CRUZ DO SUL;51;;;;;
"4-172076600500";20240410;20240409;ES;VENDA INDEVIDA;Pedido Duplicado;1037216;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR795322;;BD_OITOTAL_VOIP+BL;VAREJO;LOCAL;PAP;PAP VAREJO;;VILA VELHA;27;;;;;
"4-172788539265";20240410;20240409;RJ;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1048265;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR775194;;BD_OITOTAL_VOIP+BL;EMPRESARIAL;LOCAL;OUTROS;EASY RJ;;MARICA;21;;;;;
"4-173466474525";20240422;20240419;RJ;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1048265;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR797281;;BD_OITOTAL_VOIP+BL;EMPRESARIAL;LOCAL;OUTROS;EASY RJ;;PETROPOLIS;24;;;;;
"4-172758435045";20240410;20240409;DF;VENDA INDEVIDA;Pedido Duplicado;1054742;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR779829;;BD_OITOTAL_VOIP+BL;VAREJO;LOCAL;PAP;PAP VAREJO;;SOBRADINHO;61;;;;;
"4-172778072684";20240411;20240410;RJ;VENDA INDEVIDA;Pedido Duplicado;1056052;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR686528;;BD_OITOTAL_VOIP+BL;VAREJO;LOCAL;PAP;PAP VAREJO;;NOVA IGUACU;21;;;;;
"4-173247063248";20240419;20240417;RJ;VENDA INDEVIDA;Pedido Duplicado;1056052;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR775238;;BD_OITOTAL_VOIP+BL;VAREJO;LOCAL;PAP;PAP VAREJO;;CABO FRIO;22;;;;;
"4-170898285325";20240415;20240411;PR;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1054323;FIBRA;TLV Receptivo;DADOS SENSIVEIS;DADOS SENSIVEIS;BC685254;;BD_OITOTAL_VOIP+BL;EMPRESARIAL;REMOTO;TLV;REMOTOS;;CAMPO LARGO;41;;;;;
"4-171686416339";20240402;20240401;RO;VENDA ERRADA;Divergencia De Endereco;1043866;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR800017;;BD_OITOTAL_VOIP+BL;EMPRESARIAL;LOCAL;OUTROS;SELEME SUL;;PORTO VELHO;69;Divergencia De Endereco;;;;
"4-173581773230";20240419;20240418;SC;VENDA ERRADA;Divergencia De Endereco;1043618;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR766115;;BD_OITOTAL_VOIP+BL;VAREJO;LOCAL;PAP;PAP VAREJO;;BLUMENAU;47;Divergencia De Endereco;;;;
"4-173470332195";20240418;20240416;SC;VENDA ERRADA;Divergencia De Endereco;1043618;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR767665;;BD_OITOTAL_VOIP+BL;VAREJO;LOCAL;PAP;PAP VAREJO;;JOINVILLE;47;Divergencia De Endereco;;;;
"4-173327571568";20240418;20240416;TO;VENDA ERRADA;Divergencia De Endereco;1054903;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR171166;;BD_OITOTAL_VOIP+BL;VAREJO;LOCAL;PAP;PAP VAREJO;;PALMAS;63;Divergencia De Endereco;;;;
"4-173112549945";20240415;20240411;MG;VENDA INDEVIDA;Pedido Duplicado;1009270;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR772673;;BD_OITOTAL_VOIP+BL;VAREJO;LOCAL;PAP;PAP VAREJO;;BELO HORIZONTE;31;;;;;
"4-173015878903";20240415;20240411;AM;VENDA ERRADA;Divergencia De Endereco;1048903;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR769465;;BD_OITOTAL_VOIP+BL;VAREJO;LOCAL;PAP;PAP VAREJO;;MANAUS;92;Divergencia De Endereco;;;;
"4-173748352023";20240422;20240420;PR;VENDA INDEVIDA;Pedido Duplicado;1043524;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR788908;;BD_OITOTAL_VOIP+BL;VAREJO;LOCAL;PAP;PAP VAREJO;;PIRAQUARA;41;;;;;
"4-172093134722";20240404;20240403;PR;VENDA INDEVIDA;Pedido Duplicado;1043524;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR786973;;BD_OITOTAL_VOIP+BL;VAREJO;LOCAL;PAP;PAP VAREJO;;SAO JOSE DOS PINHAIS;41;;;;;
"4-170296573433";20240415;20240411;SP;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1065644;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR790633;;BD_OITOTAL_VOIP+BL;VAREJO;RSP;TELEAGENTES;J3F CONNECT C TELEMARKETING LTDA;;GUARULHOS;11;;;;;
"4-171998114258";20240405;20240404;RJ;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1044128;FIBRA;WEB;DADOS SENSIVEIS;DADOS SENSIVEIS;TR797378;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;HIVE COMPANY MARKETING LTDA;;RIO DE JANEIRO;21;;;;;
"4-173135723923";20240418;20240413;RJ;VENDA INDEVIDA;Pedido Duplicado;1066485;FIBRA;WEB;DADOS SENSIVEIS;DADOS SENSIVEIS;TR797261;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;TOGETHER SALES LTDA;;PETROPOLIS;24;;;;;
"4-173672482474";20240419;20240418;MT;VENDA INDEVIDA;Pedido Duplicado;1056185;FIBRA;TLV Ativo;DADOS SENSIVEIS;DADOS SENSIVEIS;BC769445;;BD_OITOTAL_VOIP+BL;VAREJO;TLV;TLV;BRASIL TELECOM CALL CENTER S A;;BARRA DO GARCAS;66;;;;;
"4-171777439620";20240404;20240403;AC;VENDA INDEVIDA;Pedido Duplicado;1064234;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR650403;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;TELEAGENTES;LIDERTEL TELECOMUNICACOES LTDA;;RIO BRANCO;68;;;;;
"4-172414598484";20240419;20240418;PR;VENDA ERRADA;Divergencia De Endereco;1063764;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR790041;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;OUTROS;AMERICA TELECOMUNICACOES LTDA;;CURITIBA;41;Divergencia De Endereco;;;;
"4-172199423799";20240409;20240408;AM;VENDA INDEVIDA;Pedido Duplicado;1064184;FIBRA;WEB;DADOS SENSIVEIS;DADOS SENSIVEIS;TR761465;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;OUTROS;VEEP BRASIL TELEMARKETING LTDA;;MANAUS;92;;;;;
"4-173326398123";20240419;20240417;GO;VENDA INDEVIDA;Pedido Duplicado;1063729;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR782810;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;OUTROS;MAANAIM TELECOM LTDA;;APARECIDA DE GOIANIA;62;;;;;
"4-173579388318";20240419;20240418;MG;VENDA INDEVIDA;Pedido Duplicado;1046177;FIBRA;TLV Ativo;DADOS SENSIVEIS;DADOS SENSIVEIS;CC280564;;BD_OITOTAL_VOIP+BL;VAREJO;TLV;TLV;LIQ CORP SA;;BELO HORIZONTE;31;;;;;S
"4-171414878014";20240402;20240328;BA;VENDA ERRADA;Divergencia De Endereco;1066443;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR740595;;BD_OITOTAL_VOIP+BL;VAREJO;RNE;OUTROS;JFL21 CELULARES COMUNICACAO LTDA;;BARREIRAS;77;Divergencia De Endereco;;;;
"4-171700642780";20240403;20240402;MG;VENDA INDEVIDA;Pedido Duplicado;1063537;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR788416;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;AD TM INTERNET LTDA;;DIVINOPOLIS;37;;;;;
"4-172745320736";20240415;20240411;RS;VENDA ERRADA;Divergencia De Endereco;1063137;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR800233;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;PAP;FUSEL COMPANY LTDA;;PORTO ALEGRE;51;Divergencia De Endereco;;;;
"4-173216050812";20240418;20240416;CE;VENDA ERRADA;Divergencia De Endereco;1062899;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR799668;;BD_OITOTAL_VOIP+BL;VAREJO;RNE;TELEAGENTES;MAXIMUS SOL SRV TELEFONIA LTDA;;FORTALEZA;85;Divergencia De Endereco;;;;
"4-170988586170";20240403;20240402;GO;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1062768;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR633985;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;OUTROS;PORTAL TELECOMUNICACOES PGTU LTDA;;GOIANIA;62;;;;;
"4-170980965557";20240405;20240404;GO;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1062768;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR600269;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;OUTROS;PORTAL TELECOMUNICACOES PGTU LTDA;;GOIANIA;62;;;;;
"4-171578378955";20240402;20240328;CE;VENDA INDEVIDA;Pedido Duplicado;1065902;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;BC790519;;BD_OITOTAL_VOIP+BL;VAREJO;RNE;OUTROS;BRASIL TELECOM CALL CENTER S A;;FORTALEZA;85;;;;;
"4-173671285052";20240419;20240418;PR;VENDA INDEVIDA;Pedido Duplicado;1066216;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR798163;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;PAP;RD PROMOCAO DE VENDAS LTDA;;TOLEDO;45;;;S;;
"4-171689958654";20240408;20240405;PR;VENDA INDEVIDA;Pedido Duplicado;1066216;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR798153;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;PAP;RD PROMOCAO DE VENDAS LTDA;;TELEMACO BORBA;42;;;;;
"4-171670300263";20240402;20240330;PR;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1066216;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR798191;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;PAP;RD PROMOCAO DE VENDAS LTDA;;CASCAVEL;45;;;;;
"4-173348504759";20240419;20240417;RJ;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1065758;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR638442;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;MAXIMA TELECOM LTDA;;RESENDE;24;;;;;
"4-173743798144";20240422;20240419;RJ;VENDA INDEVIDA;Pedido Duplicado;1065758;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR799433;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;MAXIMA TELECOM LTDA;;MESQUITA;21;;;;;S
"4-172089382107";20240405;20240404;RJ;VENDA INDEVIDA;Pedido Duplicado;1065758;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR800222;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;MAXIMA TELECOM LTDA;;NITEROI;21;;;;;
"4-171587964422";20240402;20240328;RJ;VENDA INDEVIDA;Pedido Duplicado;1065758;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR800222;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;MAXIMA TELECOM LTDA;;RIO DE JANEIRO;21;;;;;
"4-172606680190";20240415;20240412;PA;VENDA ERRADA;Divergencia De Endereco;1064849;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR782227;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;TELEAGENTES;BURITI SOLUCOES EMPRESARIAIS LTDA;;BELEM;91;Divergencia De Endereco;;;;
"4-173846447212";20240422;20240420;MG;VENDA INDEVIDA;Pedido Duplicado;1054853;FIBRA;WEB;DADOS SENSIVEIS;DADOS SENSIVEIS;TR739652;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;ESCALE SEO MARKETING DIGITAL LTDA;;SETE LAGOAS;31;;;;;
"4-172090460661";20240405;20240404;MG;VENDA ERRADA;Divergencia De Endereco;1064489;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR659652;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;OUTROS;MINAS CONECT TELECOM LTDA;;BELO HORIZONTE;31;Divergencia De Endereco;;;;
"4-172748656910";20240411;20240410;RO;VENDA ERRADA;Divergencia De Endereco;1061117;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR754815;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;OUTROS;M DE CASTRO EIRELI;;PORTO VELHO;69;Divergencia De Endereco;;S;;
"4-173010347788";20240411;20240410;AM;VENDA INDEVIDA;Pedido Duplicado;1060334;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR797001;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;PAP;ONTIME FIBRA TEL S TEL TELE EIRELI;;MANAUS;92;;;;;
"4-172781945793";20240415;20240412;AM;VENDA ERRADA;Divergencia De Endereco;1060334;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR773954;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;PAP;ONTIME FIBRA TEL S TEL TELE EIRELI;;MANAUS;92;Divergencia De Endereco;;;;
"4-172071657919";20240411;20240410;AM;VENDA ERRADA;Divergencia De Endereco;1060334;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR795657;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;PAP;ONTIME FIBRA TEL S TEL TELE EIRELI;;MANAUS;92;Divergencia De Endereco;;;;
"4-171703791656";20240402;20240401;AM;VENDA ERRADA;Divergencia De Endereco;1060334;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR784277;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;PAP;ONTIME FIBRA TEL S TEL TELE EIRELI;;MANAUS;92;Divergencia De Endereco;;;;
"4-171592343838";20240408;20240405;AM;VENDA ERRADA;Divergencia De Endereco;1060334;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR796577;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;PAP;ONTIME FIBRA TEL S TEL TELE EIRELI;;MANAUS;92;Divergencia De Endereco;;S;;
"4-171683509462";20240402;20240401;AM;VENDA ERRADA;Divergencia De Endereco;1060334;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR714541;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;PAP;ONTIME FIBRA TEL S TEL TELE EIRELI;;MANAUS;92;Divergencia De Endereco;;;;
"4-171674189100";20240402;20240401;AM;VENDA ERRADA;Divergencia De Endereco;1060334;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR795677;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;PAP;ONTIME FIBRA TEL S TEL TELE EIRELI;;MANAUS;92;Divergencia De Endereco;;;;
"4-172317126360";20240405;20240404;AM;VENDA ERRADA;Divergencia De Endereco;1060334;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR773948;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;PAP;ONTIME FIBRA TEL S TEL TELE EIRELI;;MANAUS;92;Divergencia De Endereco;;;;
"4-172403374095";20240415;20240412;AM;VENDA ERRADA;Divergencia De Endereco;1060334;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR778425;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;PAP;ONTIME FIBRA TEL S TEL TELE EIRELI;;MANAUS;92;Divergencia De Endereco;;;;
"4-173475395699";20240419;20240418;AM;VENDA ERRADA;Divergencia De Endereco;1060334;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR784518;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;PAP;ONTIME FIBRA TEL S TEL TELE EIRELI;;MANAUS;92;Divergencia De Endereco;;;;
"4-171954397590";20240409;20240408;AM;VENDA ERRADA;Divergencia De Endereco;1060334;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR791464;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;PAP;ONTIME FIBRA TEL S TEL TELE EIRELI;;MANAUS;92;Divergencia De Endereco;;;;
"4-173344818177";20240418;20240416;AM;VENDA ERRADA;Divergencia De Endereco;1060334;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR778429;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;PAP;ONTIME FIBRA TEL S TEL TELE EIRELI;;MANAUS;92;Divergencia De Endereco;;S;;
"4-171414225658";20240402;20240401;AM;VENDA ERRADA;Divergencia De Endereco;1060334;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR790268;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;PAP;ONTIME FIBRA TEL S TEL TELE EIRELI;;MANAUS;92;Divergencia De Endereco;;;;
"4-173241532985";20240415;20240412;AM;VENDA ERRADA;Divergencia De Endereco;1060334;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR791464;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;PAP;ONTIME FIBRA TEL S TEL TELE EIRELI;;MANAUS;92;Divergencia De Endereco;;;;
"4-173088178523";20240415;20240411;AM;VENDA ERRADA;Divergencia De Endereco;1060334;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR791028;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;PAP;ONTIME FIBRA TEL S TEL TELE EIRELI;;MANAUS;92;Divergencia De Endereco;;;;
"4-173211568868";20240418;20240415;PR;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1061159;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR791982;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;OUTROS;RM TELECOM LTDA;;GUARATUBA;41;;;;;
"4-172997376009";20240415;20240411;PR;VENDA ERRADA;Divergencia De Endereco;1061159;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR555045;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;OUTROS;RM TELECOM LTDA;;MARINGA;44;Divergencia De Endereco;;;;
"4-171411010457";20240402;20240329;PR;VENDA INDEVIDA;Pedido Duplicado;1061159;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR791124;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;OUTROS;RM TELECOM LTDA;;GUARAPUAVA;42;;;;;
"4-171962817219";20240405;20240404;RO;VENDA INDEVIDA;Pedido Duplicado;1063749;FIBRA;Outros;DADOS SENSIVEIS;DADOS SENSIVEIS;TR763599;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;OUTROS;MAANAIM TELECOM LTDA;;PORTO VELHO;69;;;;;
"4-171696045338";20240402;20240401;MG;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1063795;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR779821;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;TELEAGENTES;INTERATIVA INTER NEGOCIOS LTDA;;BELO HORIZONTE;31;;;;;
"4-170504635033";20240411;20240321;PR;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1065839;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR795436;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;TELEAGENTES;FERNANDES E MARTINS TELECOM LTDA;;CURITIBA;41;;;;;
"4-171603371026";20240411;20240328;PR;VENDA INDEVIDA;Pedido Duplicado;1065839;FIBRA;Teleagentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR795436;;BD_OITOTAL_VOIP+BL;VAREJO;RSUL;TELEAGENTES;FERNANDES E MARTINS TELECOM LTDA;;CURITIBA;41;;;;;
"4-173506812913";20240419;20240418;PA;VENDA INDEVIDA;Pedido Duplicado;1063392;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR787866;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;OUTROS;CALLTECH COM SERV TELECOM LTDA;;BELEM;91;;;;;
"4-173028375631";20240418;20240415;ES;VENDA INDEVIDA;Pedido Duplicado;1062560;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR774598;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;PAP;E F S L  MEN TELECOM EIRELI;;SERRA;27;;;;;
"4-173135589018";20240415;20240413;ES;VENDA ERRADA;Divergencia De Endereco;1062560;FIBRA;PAP;DADOS SENSIVEIS;DADOS SENSIVEIS;TR778705;;BD_OITOTAL_VOIP+BL;VAREJO;RSE;PAP;E F S L  MEN TELECOM EIRELI;;CARIACICA;27;Divergencia De Endereco;;;;
"4-171953291969";20240403;20240402;AP;VENDA INDEVIDA;Pedido Duplicado;1065443;FIBRA;Agentes;DADOS SENSIVEIS;DADOS SENSIVEIS;TR798149;;BD_OITOTAL_VOIP+BL;VAREJO;RCN;OUTROS;JM TECNOLOGIA LTDA;;MACAPA;96;;;;;
"4-171928051860";20240418;20240415;RS;VENDA INDEVIDA;Pedido Duplicado;1050393;FIBRA;TLV Receptivo;DADOS SENSIVEIS;DADOS SENSIVEIS;BC707426;;BD_OITOTAL_VOIP+BL;VAREJO;TLV;TLV;BRASIL TELECOM CALL CENTER S A;;GRAVATAI;51;;;;;
"4-171679307786";20240403;20240402;RS;VENDA INDEVIDA;Pedido Duplicado;1048187;FIBRA;TLV Receptivo;DADOS SENSIVEIS;DADOS SENSIVEIS;BC750331;;BD_OITOTAL_VOIP+BL;VAREJO;TLV;TLV;BRASIL TELECOM CALL CENTER S A;;CAXIAS DO SUL;54;;;;;
"4-172076190498";20240404;20240403;PR;VENDA INDEVIDA;Pedido Duplicado;1046191;FIBRA;TLV Ativo;DADOS SENSIVEIS;DADOS SENSIVEIS;CC294064;;BD_OITOTAL_VOIP+BL;VAREJO;TLV;TLV;LIQ CORP SA;;PARANAGUA;41;;;;;
"4-171674305644";20240410;20240409;PR;VENDA INDEVIDA;Cliente Nao Solicitou O Servico;1046191;FIBRA;TLV Ativo;DADOS SENSIVEIS;DADOS SENSIVEIS;CC263676;;BD_OITOTAL_VOIP+BL;VAREJO;TLV;TLV;LIQ CORP SA;;ARAPONGAS;43;;;;;
